content_id,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
4.76E+18,-8.10E+18,-6.00E+18,-3.92E+18,7.49E+18,3.29E+18
-5.78E+18,4.75E+18,-6.78E+18,2.74E+18,5.38E+18,-5.57E+18
-8.34E+18,-5.08E+18,-7.31E+17,1.23E+17,-6.81E+18,1.12E+18
-6.54E+18,-2.98E+18,-3.36E+18,5.24E+18,-7.88E+18,-6.31E+18
6.91E+18,-7.76E+18,9.57E+17,8.89E+18,2.97E+18,-3.06E+18
-1.49E+18,-5.76E+18,5.11E+18,-4.09E+18,3.62E+18,1.67E+18
7.66E+18,4.99E+18,4.67E+18,3.08E+18,7.47E+18,4.46E+18
4.07E+18,5.24E+18,7.26E+18,4.14E+18,-2.98E+18,-1.65E+18
-4.33E+18,-6.86E+18,1.23E+17,7.52E+17,-5.08E+18,2.31E+17
-1.03801E+15,4.06E+18,1.23E+17,4.56E+18,-1.07E+18,-8.25E+18
8.34E+18,-8.26E+18,-6.40E+18,9.12E+18,-6.86E+18,-1.18E+18
-5.925E+15,7.53E+18,-2.80E+18,-5.85E+18,6.54E+18,-6.25E+18
2.86E+18,3.88E+18,5.64E+17,-8.88E+18,-4.79E+18,-2.14E+18
-4.39E+18,1.01E+18,1.23E+17,-5.84E+18,4.56E+18,4.82E+18
5.96E+18,-8.28E+18,-3.40E+18,8.50E+18,8.50E+18,4.55E+18
8.85E+18,2.22E+18,5.26E+18,6.38E+17,-8.07E+18,5.25E+18
7.54E+18,-7.31E+17,-6.86E+18,-2.32E+18,1.33E+18,3.44E+18
5.05E+18,1.23E+17,3.74E+17,4.56E+18,-6.86E+18,-5.84E+18
8.82E+17,8.48E+18,-8.34E+18,-7.01E+18,1.12E+18,-2.32E+18
2.73E+18,5.93E+18,-2.05E+17,-7.00E+18,7.52E+18,-2.15E+18
5.29E+18,-7.46E+17,-7.99E+18,1.98E+18,7.42E+18,-1.61E+18
3.17E+18,1.23E+17,4.81E+18,-5.08E+18,-8.25E+18,4.31E+18
1.73E+18,6.85E+18,5.68E+18,4.58E+18,3.04E+18,-7.03E+18
-3.96E+18,-4.13E+18,4.83E+18,-8.19E+18,2.56E+18,8.15E+18
-6.06E+18,-6.01E+18,4.87E+18,-3.41E+18,1.23E+17,-7.01E+18
4.04E+18,7.29E+18,5.15E+18,6.04E+18,-4.20E+18,8.61E+18
-4.08E+18,-8.69E+18,-2.86E+18,5.71E+18,-7.49E+18,5.12E+17
8.73E+18,-8.51E+18,1.27E+18,-3.81E+18,-1.87E+18,7.85E+18
3.47E+18,-9.13E+17,-3.22E+18,8.03E+18,-1.12E+18,5.22E+18
-4.02E+18,-8.19E+18,7.61E+18,-8.90E+18,3.29E+18,-4.70E+18
4.16E+18,-5.19E+17,5.62E+18,-8.16E+18,4.88E+18,1.93E+18
-5.74E+18,-7.38E+18,8.29E+18,4.87E+18,3.44E+18,8.52E+18
-6.62E+18,8.15E+18,-9.03E+18,4.88E+18,-4.34E+18,4.63E+18
